               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.050596,            0.044316,            0.018421,             0.59907,             0.28223,              0.3149,             0.14372,             0.05452,            0.033838,             0.01638,            0.006337,            0.006337,            0.006337
                  38,            0.049856,            0.045241,            0.018215,             0.61659,             0.30094,             0.32746,             0.15301,             0.05367,            0.033091,            0.015432,            0.006238,            0.006238,            0.006238
                  39,            0.050987,            0.044304,            0.017328,             0.62153,             0.30262,             0.31888,             0.15246,            0.053766,             0.03329,            0.015456,            0.006139,            0.006139,            0.006139
                  40,            0.049956,            0.043937,            0.017408,             0.61936,             0.30637,             0.31636,             0.14918,            0.053556,            0.033036,            0.015009,             0.00604,             0.00604,             0.00604
                  41,             0.05038,            0.043948,            0.018331,             0.50912,             0.27706,             0.29956,             0.14216,            0.053727,            0.033082,            0.015627,            0.005941,            0.005941,            0.005941
                  42,            0.050069,            0.044902,            0.017441,             0.58873,             0.30185,             0.30543,             0.14307,            0.054355,            0.033595,            0.015671,            0.005842,            0.005842,            0.005842
                  43,            0.049302,            0.044012,            0.016118,             0.50258,             0.31078,             0.31296,             0.14432,            0.053686,             0.03308,            0.016442,            0.005743,            0.005743,            0.005743
                  44,            0.048817,            0.043567,            0.017336,             0.55406,             0.35247,             0.31887,             0.14803,            0.053546,            0.033372,            0.015733,            0.005644,            0.005644,            0.005644
                  45,            0.049363,            0.043643,            0.017085,             0.66652,             0.27395,             0.30798,             0.15167,             0.05426,            0.033653,              0.0161,            0.005545,            0.005545,            0.005545
                  46,            0.049688,            0.044168,            0.016945,             0.43554,             0.32289,             0.30941,             0.15177,            0.053788,            0.033062,            0.015461,            0.005446,            0.005446,            0.005446
                  47,            0.049664,            0.045509,            0.016914,             0.49108,             0.32407,             0.33715,             0.16027,            0.053342,            0.032915,            0.015015,            0.005347,            0.005347,            0.005347
                  48,            0.048592,            0.042204,            0.016587,             0.50511,             0.32806,             0.33182,             0.15847,            0.053267,            0.032921,            0.014979,            0.005248,            0.005248,            0.005248
                  49,            0.048668,            0.043843,            0.016105,             0.48907,             0.31867,             0.29697,             0.13706,            0.053232,            0.033815,            0.015614,            0.005149,            0.005149,            0.005149
                  50,            0.048288,            0.042095,            0.016138,             0.49554,             0.33135,             0.31733,             0.15071,            0.053026,            0.033402,            0.014588,             0.00505,             0.00505,             0.00505
                  51,            0.048854,            0.043634,            0.015917,             0.53226,             0.30504,             0.33054,             0.15946,             0.05328,             0.03323,            0.013398,            0.004951,            0.004951,            0.004951
                  52,            0.048097,            0.043703,            0.015165,             0.45997,             0.35725,             0.32678,             0.15433,            0.053771,            0.033734,            0.014516,            0.004852,            0.004852,            0.004852
                  53,            0.048419,            0.042641,               0.015,             0.51808,             0.31623,             0.32707,             0.15502,             0.05363,            0.033633,            0.015029,            0.004753,            0.004753,            0.004753
